area_type,bath,balcony,price,availability_refined,availibility_due,size_bhk,scale,total_sqft_refined
Super built-up  Area,3,0,54.54,Under Construction,Dec,3,1,1350
Super built-up  Area,2,2,65,Ready To Move,,3,1,1580
Super built-up  Area,2,1,88.64,Under Construction,Oct,3,1,1470
Super built-up  Area,1,1,14,Under Construction,Jun,1,1,500
Super built-up  Area,2,1,61.92,Under Construction,Sep,2,1,1346
Super built-up  Area,3,3,90,Ready To Move,,3,1,1600
Super built-up  Area,2,1,120,Ready To Move,,2,1,720
Plot  Area,2,2,29.5,Under Construction,Mar,2,43560,1306800
Plot  Area,4,0,135,Ready To Move,,4,1,1200
Super built-up  Area,2,2,35,Ready To Move,,2,1,1200
Built-up  Area,2,2,48.33,Ready To Move,,3,1,1340
Plot  Area,4,,560,Ready To Move,,4,1,6136
Super built-up  Area,2,2,48,Ready To Move,,2,1,918
Plot  Area,3,2,115,Ready To Move,,3,1,1500
Super built-up  Area,2,2,85,Ready To Move,,2,1,1315
Plot  Area,5,,775,Ready To Move,,4,1,2400
Super built-up  Area,2,2,62.55,Ready To Move,,3,1,1390
Super built-up  Area,2,1,56,Ready To Move,,3,1,1330
Built-up  Area,4,,265,Ready To Move,,5,1,3100
Super built-up  Area,3,3,125,Under Construction,Dec,3,1,1824
Super built-up  Area,2,2,96,Ready To Move,,3,1,1420
Plot  Area,1,0,56.25,Ready To Move,,1,1,750
Super built-up  Area,2,1,60,Ready To Move,,3,1,1260
Super built-up  Area,3,2,95,Under Construction,Sep,3,1,1561
Plot  Area,6,3,165,Ready To Move,,9,1,812
Super built-up  Area,2,2,42,Ready To Move,,2,1,1060
Plot  Area,8,3,145,Ready To Move,,8,1,1120
Super built-up  Area,2,1,67.38,Under Construction,Jul,2,1,1225
Super built-up  Area,3,2,135,Ready To Move,,3,1,2144
Plot  Area,6,2,140,Ready To Move,,7,1,1200
Super built-up  Area,2,2,29,Ready To Move,,2,1,880
Super built-up  Area,3,2,110,Under Construction,Dec,3,1,1639
Built-up  Area,2,1,62,Ready To Move,,3,1,1240
Super built-up  Area,2,2,69,Ready To Move,,2,1,1500
Super built-up  Area,2,1,46,Ready To Move,,2,1,1243
Super built-up  Area,3,,78,Ready To Move,,3,1,1575
Super built-up  Area,2,2,44,Ready To Move,,2,1,1027
Super built-up  Area,2,1,56,Ready To Move,,3,1,1082
Super built-up  Area,3,3,73,Ready To Move,,3,1,1637
Super built-up  Area,3,2,86.58,Ready To Move,,3,1,1665
Super built-up  Area,2,0,56.93,Under Construction,Dec,2,1,1265
Super built-up  Area,2,2,102,Under Construction,Dec,3,1,1691
Super built-up  Area,2,1,38,Ready To Move,,2,1,1100
Built-up  Area,2,2,150,Ready To Move,,5,1,24
Plot  Area,3,2,62,Under Construction,Jan,3,1,1500
Built-up  Area,5,1,380,Ready To Move,,4,1,3205
Built-up  Area,4,1,150,Ready To Move,,5,1,1666
Super built-up  Area,2,2,50,Ready To Move,,2,1,1115
Super built-up  Area,2,1,45,Ready To Move,,2,1,1070
Super built-up  Area,2,2,105,Ready To Move,,2,1,1128
Super built-up  Area,2,1,57,Ready To Move,,2,1,1162
Super built-up  Area,2,2,55,Ready To Move,,2,1,1339
Super built-up  Area,2,2,75,Ready To Move,,2,1,1192
Super built-up  Area,3,1,115,Ready To Move,,3,1,1920
Super built-up  Area,2,1,52.32,Ready To Move,,2,1,1255
Super built-up  Area,2,1,115,Under Construction,Apr,2,1,1357
Super built-up  Area,3,2,75,Ready To Move,,3,1,1600
Super built-up  Area,2,2,55.11,Ready To Move,,2,1,1225
Plot  Area,4,3,200,Ready To Move,,4,1,2400
Super built-up  Area,3,3,80,Ready To Move,,3,1,1570
Super built-up  Area,2,2,70,Ready To Move,,2,1,1093
Built-up  Area,3,3,145,Ready To Move,,3,1,1865
Plot  Area,7,3,165,Ready To Move,,6,1,1200
Super built-up  Area,2,2,80,Ready To Move,,2,1,1039
Super built-up  Area,2,1,64.5,Ready To Move,,2,1,1246
Super built-up  Area,3,2,75,Ready To Move,,3,1,1985
Super built-up  Area,3,3,49,Ready To Move,,3,1,1590
Plot  Area,4,2,675,Ready To Move,,4,1,4000
Super built-up  Area,2,2,38,Ready To Move,,2,1,775
Super built-up  Area,2,1,50,Ready To Move,,2,1,1000
Super built-up  Area,3,2,175,Ready To Move,,3,1,1800
Super built-up  Area,2,1,41,Under Construction,Jun,2,1,1035
Super built-up  Area,2,1,75,Ready To Move,,3,1,1520
Super built-up  Area,2,1,95,Ready To Move,,2,1,1360
Plot  Area,5,3,400,Ready To Move,,4,1,6000
Super built-up  Area,2,2,56,Ready To Move,,2,1,1117
Plot  Area,4,3,120,Ready To Move,,4,1,1200
Super built-up  Area,2,1,92.5,Ready To Move,,2,1,1330
Super built-up  Area,3,2,160,Ready To Move,,3,1,1937
Super built-up  Area,2,1,65.49,Under Construction,Aug,2,1,1128
Super built-up  Area,2,1,45,Ready To Move,,2,1,1053
Super built-up  Area,2,1,77,Under Construction,May,2,1,1198
Super built-up  Area,2,1,56,Under Construction,Apr,2,1,1152
Super built-up  Area,6,2,125,Under Construction,Dec,6,1,1200
Super built-up  Area,2,1,75,Ready To Move,,2,1,1625
Super built-up  Area,3,3,105,Ready To Move,,3,1,1397
Super built-up  Area,3,3,170,Ready To Move,,3,1,1523
Super built-up  Area,2,1,45,Ready To Move,,2,1,883
Super built-up  Area,1,0,38,Ready To Move,,1,1,700
Super built-up  Area,2,1,62.5,Ready To Move,,2,1,1170
Super built-up  Area,2,2,42,Ready To Move,,3,1,1200
Built-up  Area,3,2,170,Ready To Move,,3,1,2400
Super built-up  Area,2,2,65,Ready To Move,,2,1,1480
Super built-up  Area,3,2,120,Ready To Move,,3,1,1897
Super built-up  Area,2,1,67,Ready To Move,,2,1,996
Super built-up  Area,3,2,110,Under Construction,May,3,1,1875
Super built-up  Area,2,2,98,Ready To Move,,3,1,1500
Super built-up  Area,3,3,350,Ready To Move,,3,1,3095
Super built-up  Area,2,1,175,Ready To Move,,3,1,1390
Super built-up  Area,3,0,65.255,Under Construction,Dec,3,1,1450
Super built-up  Area,1,0,45,Under Construction,Nov,1,1,697
Built-up  Area,1,1,27,Ready To Move,,1,1,710
Carpet  Area,2,1,30.5,Ready To Move,,2,1,910
Built-up  Area,2,1,48,Ready To Move,,3,1,1025
Super built-up  Area,2,0,46.5,Under Construction,Aug,2,1,1000
Plot  Area,4,,244,Ready To Move,,4,1,1200
Super built-up  Area,2,1,46.48,Under Construction,May,3,1,1453
Super built-up  Area,5,2,300,Ready To Move,,4,1,3335
Super built-up  Area,2,0,36.435,Under Construction,Mar,2,1,971.5
Super built-up  Area,2,1,74,Ready To Move,,2,1,1281
Built-up  Area,1,1,35,Ready To Move,,1,1,565
Built-up  Area,2,2,42,Ready To Move,,2,1,1024
Built-up  Area,3,2,62,Ready To Move,,3,1,1620
Super built-up  Area,2,2,40,Ready To Move,,2,1,1254
Built-up  Area,2,2,75,Ready To Move,,3,1,1300
Built-up  Area,2,2,43,Ready To Move,,2,1,1233
Plot  Area,1,1,28,Ready To Move,,1,1,1200
Super built-up  Area,2,1,105,Under Construction,Oct,3,1,1510
Super built-up  Area,2,1,65,Ready To Move,,2,1,950
Super built-up  Area,3,2,97.42,Ready To Move,,3,1,1945
Super built-up  Area,2,3,45,Ready To Move,,2,1,1008
Super built-up  Area,2,1,79,Ready To Move,,3,1,1265
Super built-up  Area,2,1,77.68,Under Construction,Dec,3,1,1255
Built-up  Area,6,2,220,Under Construction,Dec,4,1,2689
Built-up  Area,2,2,46.17,Ready To Move,,2,1,1200
Super built-up  Area,3,3,51.63,Under Construction,Dec,3,1,1403
Super built-up  Area,3,2,85,Ready To Move,,3,1,1535
Plot  Area,3,3,100,Ready To Move,,3,1,1500
Super built-up  Area,2,2,120,Ready To Move,,3,1,1475
Super built-up  Area,2,2,60.47,Ready To Move,,3,1,1390
Super built-up  Area,2,1,53.76,Ready To Move,,3,1,1278
Super built-up  Area,2,2,55,Ready To Move,,2,1,1133
Plot  Area,5,1,145,Ready To Move,,5,1,1560
Plot  Area,5,2,90,Ready To Move,,5,1,2900
Super built-up  Area,2,1,51.99,Ready To Move,,2,1,1170
Plot  Area,3,3,200,Ready To Move,,3,1,1200
Super built-up  Area,3,2,94.79,Under Construction,Dec,3,1,1697
Super built-up  Area,3,3,97.38,Ready To Move,,3,1,1651
Super built-up  Area,3,1,188,Ready To Move,,3,1,1560
Super built-up  Area,2,1,60,Under Construction,Apr,3,1,1192
Built-up  Area,2,3,65,Ready To Move,,2,1,1078
Plot  Area,7,3,105,Ready To Move,,7,1,800
Super built-up  Area,2,2,78,Ready To Move,,2,1,1349
Plot  Area,8,1,210,Ready To Move,,9,1,2300
Super built-up  Area,3,2,120,Ready To Move,,3,1,1680
Super built-up  Area,2,2,63,Ready To Move,,3,1,1314
Super built-up  Area,2,1,48.7,Ready To Move,,2,1,1060
Built-up  Area,2,0,39,Ready To Move,,2,1,820
Plot  Area,4,3,400,Ready To Move,,4,1,5000
Super built-up  Area,3,2,85,Ready To Move,,3,1,2000
Super built-up  Area,2,3,40,Ready To Move,,2,1,856
Super built-up  Area,4,0,130,Under Construction,Feb,3,1,1621
Plot  Area,3,1,68.4,Under Construction,Dec,3,1,1200
Super built-up  Area,3,2,52.5,Ready To Move,,3,1,1484
Plot  Area,5,2,60,Ready To Move,,4,1,600
Plot  Area,3,2,800,Ready To Move,,4,1,14000
Super built-up  Area,1,1,20,Ready To Move,,1,1,500
Super built-up  Area,1,1,15,Ready To Move,,1,1,485
Super built-up  Area,2,1,42,Ready To Move,,2,1,1050
Super built-up  Area,3,3,66.68,Ready To Move,,3,1,1617
Built-up  Area,1,1,16,Ready To Move,,2,1,550
Built-up  Area,3,2,62.28,Ready To Move,,3,1,1384
Super built-up  Area,2,2,85,Under Construction,Apr,2,1,1408
Built-up  Area,2,1,49,Ready To Move,,2,1,1150
Super built-up  Area,2,2,75,Ready To Move,,3,1,1410
Built-up  Area,4,1,100,Ready To Move,,4,1,2150
Super built-up  Area,4,1,275,Ready To Move,,3,1,2292
Built-up  Area,3,,297,Ready To Move,,3,1,2006
Built-up  Area,3,2,70.25,Ready To Move,,3,1,1508
Built-up  Area,2,2,50,Ready To Move,,2,1,1040
Plot  Area,2,1,60,Ready To Move,,2,1,1240
Super built-up  Area,3,1,78,Ready To Move,,3,1,1535
Built-up  Area,2,2,75,Ready To Move,,2,1,1180
Built-up  Area,6,2,68,Ready To Move,,6,1,2200
Super built-up  Area,2,2,78,Ready To Move,,2,1,1400
Super built-up  Area,1,1,25,Ready To Move,,1,1,500
Plot  Area,4,3,525,Ready To Move,,4,1,4800
Super built-up  Area,4,1,146,Ready To Move,,3,1,1984
Plot  Area,5,3,250,Ready To Move,,4,1,3000
Super built-up  Area,3,3,160,Ready To Move,,3,1,1960
Super built-up  Area,2,1,45,Ready To Move,,2,1,1035
Built-up  Area,4,1,80,Ready To Move,,4,1,2150
Built-up  Area,3,2,115,Ready To Move,,3,1,1700
Super built-up  Area,5,1,248,Ready To Move,,4,1,3024
Super built-up  Area,3,1,100,Under Construction,Jan,3,1,1586
Built-up  Area,,,155,Under Construction,May,3,1,2264
Plot  Area,4,1,120,Ready To Move,,4,1,2325
Super built-up  Area,2,2,55,Ready To Move,,2,1,1120
Super built-up  Area,,,67.98,Under Construction,Jun,3,1,1662
Super built-up  Area,2,2,59,Ready To Move,,2,1,1128
Plot  Area,6,2,250,Ready To Move,,6,1,1200
Super built-up  Area,2,2,65,Ready To Move,,2,1,924
Super built-up  Area,3,2,52,Ready To Move,,3,1,1600
Super built-up  Area,2,2,35,Ready To Move,,2,1,1006
Super built-up  Area,2,2,55,Ready To Move,,2,1,1200
Super built-up  Area,2,1,62,Under Construction,Dec,2,1,1250
Plot  Area,3,1,130,Ready To Move,,3,1,1200
Built-up  Area,2,1,56,Ready To Move,,2,1,957
Super built-up  Area,2,2,41,Ready To Move,,2,1,1140
Super built-up  Area,2,1,67,Ready To Move,,2,1,1050
Super built-up  Area,3,2,88.5,Ready To Move,,3,1,1565
Super built-up  Area,2,3,57,Ready To Move,,2,1,1190
Built-up  Area,3,2,162,Under Construction,Jan,3,1,2842
Built-up  Area,2,2,65,Ready To Move,,3,1,1558
Super built-up  Area,1,1,39,Ready To Move,,1,1,630
Super built-up  Area,2,2,60.81,Ready To Move,,3,1,1403
Super built-up  Area,2,3,85,Ready To Move,,3,1,1542
Built-up  Area,4,0,220,Ready To Move,,4,1,2750
Super built-up  Area,5,1,290,Ready To Move,,4,1,3596
Super built-up  Area,2,,78,Ready To Move,,3,1,1635
Super built-up  Area,2,1,53,Ready To Move,,2,1,1239
Super built-up  Area,2,2,47,Ready To Move,,2,1,1194
Super built-up  Area,3,1,105,Ready To Move,,3,1,1596
Super built-up  Area,2,1,38.34,Under Construction,Nov,2,1,1009
Super built-up  Area,3,2,81.99,Under Construction,Jul,3,1,1726
Super built-up  Area,3,2,86,Ready To Move,,3,1,1535
Super built-up  Area,2,1,58.5,Ready To Move,,3,1,1300
Plot  Area,4,2,465,Ready To Move,,4,1,3100
Super built-up  Area,3,3,80,Ready To Move,,3,1,1800
Super built-up  Area,1,0,50.75,Under Construction,Dec,1,1,665
Plot  Area,7,1,1200,Ready To Move,,9,1,4050
Plot  Area,2,1,100,Ready To Move,,3,1,1500
Built-up  Area,2,2,48,Ready To Move,,2,1,925
Super built-up  Area,4,,251,Under Construction,Dec,4,1,3356
Super built-up  Area,2,1,63.59,Ready To Move,,2,1,1395
Super built-up  Area,2,1,55,Ready To Move,,3,1,1415
Super built-up  Area,2,2,59,Ready To Move,,3,1,1419
Super built-up  Area,2,2,78,Under Construction,Feb,2,1,1121
Super built-up  Area,2,1,45,Ready To Move,,3,1,1082
Super built-up  Area,2,1,47,Under Construction,Jun,2,1,1100
Super built-up  Area,3,3,89.55,Ready To Move,,3,1,1606
Built-up  Area,3,2,88,Ready To Move,,3,1,1650
Super built-up  Area,4,3,1015,Ready To Move,,3,1,4634
Super built-up  Area,2,3,75,Ready To Move,,2,1,1206
Built-up  Area,2,0,64,Ready To Move,,3,1,1495
Plot  Area,7,2,195,Ready To Move,,8,1,840
Super built-up  Area,2,2,16,Ready To Move,,2,1,710
Super built-up  Area,2,1,72,Ready To Move,,2,1,1210
Super built-up  Area,2,2,53.4,Ready To Move,,3,1,1523
Super built-up  Area,2,2,45,Ready To Move,,2,1,1232
Super built-up  Area,1,1,44,Under Construction,Aug,1,1,680
Super built-up  Area,3,1,83.87,Under Construction,Dec,3,1,1355
Super built-up  Area,2,2,51.46,Ready To Move,,3,1,1430
Super built-up  Area,2,2,43.85,Under Construction,Jun,3,1,1275
Super built-up  Area,2,1,56.1,Ready To Move,,2,1,1070
Plot  Area,3,1,85,Ready To Move,,3,1,1200
Plot  Area,4,0,120,Ready To Move,,4,1,2000
Super built-up  Area,2,2,40,Ready To Move,,2,1,1200
Super built-up  Area,3,1,90,Ready To Move,,3,1,1610
Super built-up  Area,2,2,43,Ready To Move,,2,1,1140
Super built-up  Area,2,2,38.65,Ready To Move,,2,1,1143
Super built-up  Area,6,3,249,Under Construction,May,4,1,3467
Super built-up  Area,2,2,74.4,Ready To Move,,3,1,1530
Super built-up  Area,2,2,69,Ready To Move,,2,1,980
Super built-up  Area,3,2,65,Ready To Move,,3,1,1485
Plot  Area,3,1,130,Under Construction,May,3,1,1500
Super built-up  Area,2,1,75,Under Construction,Oct,2,1,1280
Super built-up  Area,2,2,85,Ready To Move,,2,1,1265
Built-up  Area,2,1,67,Under Construction,Dec,2,1,1132
Super built-up  Area,2,2,63,Ready To Move,,2,1,1262
Super built-up  Area,2,1,49,Ready To Move,,2,1,940
Super built-up  Area,3,3,88,Ready To Move,,3,1,1515
Super built-up  Area,3,3,150,Ready To Move,,3,1,1300
Built-up  Area,3,1,69,Ready To Move,,3,1,1840
Built-up  Area,2,2,45,Ready To Move,,2,1,890
Super built-up  Area,3,2,86.06,Ready To Move,,3,1,1655
Super built-up  Area,3,1,149,Ready To Move,,3,1,2060
Super built-up  Area,3,1,96,Ready To Move,,3,1,1730
Built-up  Area,4,2,127,Ready To Move,,3,1,2195
Super built-up  Area,3,2,125,Under Construction,Mar,3,1,1650
Plot  Area,2,0,71,Ready To Move,,2,1,1200
Super built-up  Area,2,1,32.37,Under Construction,May,2,1,1079
Super built-up  Area,2,1,36,Under Construction,Oct,2,1,1085
Built-up  Area,7,,299,Ready To Move,,7,1,5000
Super built-up  Area,2,1,51.5,Ready To Move,,2,1,1075
Super built-up  Area,2,1,80,Under Construction,May,2,1,1380
Super built-up  Area,3,1,65,Ready To Move,,3,1,1450
Super built-up  Area,2,2,78,Ready To Move,,2,1,1200
Super built-up  Area,4,,350,Ready To Move,,3,1,3200
Super built-up  Area,3,1,98.32,Under Construction,Jul,3,1,1639
Super built-up  Area,2,1,54,Ready To Move,,2,1,1200
Super built-up  Area,3,1,116,Under Construction,Jun,3,1,1739
Built-up  Area,5,,500,Ready To Move,,4,1,4346
Super built-up  Area,2,1,32.72,Under Construction,Dec,2,1,935
Super built-up  Area,1,1,25.25,Under Construction,Nov,1,1,510
Plot  Area,6,3,180,Ready To Move,,6,1,1200
Super built-up  Area,2,3,47,Ready To Move,,2,1,1178
Built-up  Area,2,1,50,Ready To Move,,3,1,1375
Super built-up  Area,2,1,33,Ready To Move,,3,1,1065
Super built-up  Area,2,1,50.75,Ready To Move,,3,1,1450
Built-up  Area,2,3,45,Ready To Move,,2,1,999
Super built-up  Area,3,2,475,Ready To Move,,2,1,4400
Plot  Area,4,1,135,Ready To Move,,5,1,1350
Built-up  Area,2,2,40,Ready To Move,,2,1,1100
Super built-up  Area,2,3,155,Ready To Move,,3,1,1835
Super built-up  Area,4,0,95.1,Under Construction,Dec,4,1,2090
Super built-up  Area,3,1,93,Ready To Move,,3,1,1519
Built-up  Area,3,2,56,Ready To Move,,3,1,1267
Super built-up  Area,2,3,72.2,Ready To Move,,2,1,1150
Super built-up  Area,2,1,70,Under Construction,Dec,2,1,1146
Plot  Area,7,0,235,Under Construction,Feb,8,1,1200
Built-up  Area,3,3,65,Ready To Move,,3,1,1550
Built-up  Area,1,1,18.5,Ready To Move,,2,1,850
Super built-up  Area,3,,187,Ready To Move,,3,1,2200
Built-up  Area,3,2,330,Ready To Move,,3,1,3329
Carpet  Area,1,1,55,Ready To Move,,1,1,785
Super built-up  Area,4,,300,Ready To Move,,3,1,2900
Built-up  Area,3,2,74,Ready To Move,,3,1,1610
Super built-up  Area,2,2,40,Ready To Move,,2,1,921
Plot  Area,3,2,95,Ready To Move,,3,1,850
Built-up  Area,5,0,158,Ready To Move,,5,1,2700
Super built-up  Area,3,3,110,Ready To Move,,3,1,1700
Built-up  Area,2,2,35,Ready To Move,,2,1,1020
Super built-up  Area,2,3,52,Ready To Move,,2,1,1090
Plot  Area,4,,300,Ready To Move,,4,1,3600
Super built-up  Area,2,2,44,Ready To Move,,2,1,1027
Super built-up  Area,2,2,42.1,Ready To Move,,2,1,1185
Super built-up  Area,2,1,25,Ready To Move,,2,1,850
Built-up  Area,2,1,84,Ready To Move,,2,1,1197
Super built-up  Area,3,3,450,Ready To Move,,4,1,3500
Super built-up  Area,2,2,39.55,Ready To Move,,2,1,920
Super built-up  Area,9,1,296,Ready To Move,,9,10.8,7732.8
Super built-up  Area,2,1,65,Ready To Move,,2,1,1105
Super built-up  Area,3,3,100,Ready To Move,,3,1,1850
Super built-up  Area,3,1,64,Under Construction,Dec,3,1,1300
Built-up  Area,3,2,76,Ready To Move,,3,1,1595
Super built-up  Area,5,2,696,Under Construction,Dec,4,1,3073
Built-up  Area,2,1,37.49,Ready To Move,,2,1,755
Built-up  Area,5,2,140,Ready To Move,,5,1,4050
Super built-up  Area,2,3,69,Under Construction,Dec,3,1,1300
Built-up  Area,2,0,50,Ready To Move,,2,1,1215
Super built-up  Area,2,1,46,Under Construction,Oct,2,1,900
Super built-up  Area,2,3,58.4,Under Construction,Oct,2,1,1145
Super built-up  Area,2,2,65,Ready To Move,,2,1,1093
Super built-up  Area,2,2,41.39,Under Construction,Nov,3,1,1213
Super built-up  Area,3,2,100,Ready To Move,,3,1,1654
Super built-up  Area,2,1,52.48,Ready To Move,,2,1,1105
Super built-up  Area,2,2,66,Ready To Move,,3,1,1611
Built-up  Area,2,2,62,Ready To Move,,2,1,1367
Super built-up  Area,2,1,51,Ready To Move,,2,1,1010
Plot  Area,2,1,75,Ready To Move,,3,1,750
Carpet  Area,3,1,95,Ready To Move,,3,1,1535
Super built-up  Area,2,1,22,Ready To Move,,2,1,620
Built-up  Area,2,1,47.65,Ready To Move,,2,1,982
Super built-up  Area,2,2,150,Ready To Move,,2,1,1700
Super built-up  Area,2,1,71,Under Construction,Dec,2,1,1330
Built-up  Area,3,2,135,Ready To Move,,3,1,2500
Super built-up  Area,2,2,58.99,Ready To Move,,3,1,1475
Super built-up  Area,3,1,65,Ready To Move,,3,1,1410
Super built-up  Area,1,1,16.5,Ready To Move,,1,1,440
Super built-up  Area,3,2,95,Ready To Move,,3,1,1614
Super built-up  Area,2,2,68,Ready To Move,,2,1,1363
Built-up  Area,2,0,28,Ready To Move,,2,1,650
Super built-up  Area,2,1,45,Ready To Move,,2,1,1015
Super built-up  Area,2,2,46,Ready To Move,,2,1,1156
Super built-up  Area,2,1,62.7,Under Construction,Mar,2,1,1100
Super built-up  Area,3,2,46,Under Construction,Jan,3,1,1455
Super built-up  Area,2,1,45,Ready To Move,,2,1,930
Built-up  Area,2,2,80,Ready To Move,,3,1,1650
Built-up  Area,2,0,90,Ready To Move,,2,1,1200
Plot  Area,1,0,150,Ready To Move,,1,1,700
Super built-up  Area,3,,135,Ready To Move,,4,1,2900
Super built-up  Area,4,3,127,Under Construction,Mar,3,1,1890
Super built-up  Area,4,3,280,Ready To Move,,3,1,2197
Super built-up  Area,3,2,380,Ready To Move,,3,1,3522
Super built-up  Area,2,2,46,Under Construction,Apr,3,1,1240
Built-up  Area,2,2,98,Ready To Move,,2,1,1440
Super built-up  Area,1,2,38,Ready To Move,,1,1,650
Super built-up  Area,1,1,32,Under Construction,Jun,1,1,764
Plot  Area,4,0,90,Ready To Move,,5,1,900
Super built-up  Area,3,3,57.39,Ready To Move,,3,1,1693
Built-up  Area,3,2,65,Ready To Move,,3,1,1445
Super built-up  Area,1,0,45,Under Construction,Oct,2,1,900
Super built-up  Area,2,,55,Ready To Move,,2,1,1030
Super built-up  Area,2,2,52.48,Ready To Move,,3,1,1381
Built-up  Area,2,1,60,Ready To Move,,2,1,1100
Super built-up  Area,3,2,66.39,Ready To Move,,3,1,1575
Plot  Area,2,1,65,Ready To Move,,2,1,1200
Super built-up  Area,2,2,43.2,Ready To Move,,2,1,1200
Super built-up  Area,2,2,80,Ready To Move,,2,1,1080
Plot  Area,5,,200,Ready To Move,,5,1,2280
Super built-up  Area,2,2,85,Under Construction,Mar,3,1,1360
Super built-up  Area,3,1,124,Under Construction,Dec,3,1,1865
Super built-up  Area,2,1,75,Under Construction,Nov,3,1,1157
Super built-up  Area,2,1,29,Ready To Move,,2,1,674
Super built-up  Area,2,1,78,Ready To Move,,3,1,1405
Super built-up  Area,2,2,44.08,Ready To Move,,2,1,1160
Plot  Area,3,1,172,Ready To Move,,4,1,1600
Super built-up  Area,3,2,127,Under Construction,Mar,3,1,1790
Super built-up  Area,2,1,65.65,Under Construction,May,2,1,1128
Super built-up  Area,2,1,70,Ready To Move,,2,1,1180
Built-up  Area,2,2,85,Ready To Move,,3,1,1450
Built-up  Area,1,1,10,Under Construction,Mar,1,1,340
Built-up  Area,3,1,166,Ready To Move,,4,1,2000
Super built-up  Area,2,2,53.5,Ready To Move,,2,1,1050
Super built-up  Area,2,2,40,Ready To Move,,2,1,1125
Super built-up  Area,2,1,68,Ready To Move,,2,1,1246
Super built-up  Area,2,1,61,Ready To Move,,2,1,1372
Super built-up  Area,2,1,56,Ready To Move,,3,1,1330
Super built-up  Area,5,2,234,Under Construction,Dec,3,1,2465
Super built-up  Area,2,3,55,Ready To Move,,2,1,1300
Plot  Area,1,0,220,Ready To Move,,2,1,1420
Plot  Area,4,1,50,Ready To Move,,4,1,810
Super built-up  Area,2,1,35,Ready To Move,,2,1,1065
Built-up  Area,2,0,27,Ready To Move,,2,1,700
Carpet  Area,2,0,42.72,Under Construction,Mar,2,1,687.325
Super built-up  Area,2,1,45,Ready To Move,,2,1,1050
Super built-up  Area,3,3,39.5,Under Construction,Apr,3,1,1250
Built-up  Area,2,0,42,Ready To Move,,2,1,865
Super built-up  Area,2,2,44,Ready To Move,,2,1,1200
Built-up  Area,3,3,100,Ready To Move,,3,1,1756
Plot  Area,8,,150,Ready To Move,,9,1,750
Super built-up  Area,1,1,24,Ready To Move,,1,1,628
Plot  Area,6,2,195,Ready To Move,,7,1,1200
Super built-up  Area,2,2,63,Ready To Move,,2,1,1207
Super built-up  Area,3,1,125,Ready To Move,,3,1,1765
Built-up  Area,2,1,32.64,Under Construction,Dec,2,1,1130
Super built-up  Area,3,3,92,Under Construction,Jun,3,1,1532
Built-up  Area,3,0,110,Ready To Move,,3,1,1650
Built-up  Area,4,2,105,Under Construction,May,4,1,1200
Carpet  Area,2,1,69.09,Under Construction,Dec,2,1,804
Super built-up  Area,2,2,75,Under Construction,Apr,2,1,1200
Super built-up  Area,2,2,50,Ready To Move,,2,1,1197
Built-up  Area,2,2,66,Ready To Move,,2,1,1200
Super built-up  Area,2,2,48.48,Ready To Move,,3,1,1385
Super built-up  Area,2,3,148,Ready To Move,,2,1,1010
Super built-up  Area,3,3,115,Ready To Move,,3,1,2225
Super built-up  Area,2,2,48,Ready To Move,,2,1,1180
Super built-up  Area,2,3,122,Ready To Move,,3,1,1525
Super built-up  Area,2,2,31.5,Ready To Move,,2,1,1100
Super built-up  Area,3,3,70,Ready To Move,,3,1,1435
Built-up  Area,1,1,14,Ready To Move,,1,1,400
Super built-up  Area,2,2,50,Ready To Move,,2,1,1200
Super built-up  Area,2,1,95.05,Under Construction,Mar,2,1,1272
Super built-up  Area,2,1,39,Ready To Move,,2,1,1205
Built-up  Area,2,1,40,Ready To Move,,2,1,980
Super built-up  Area,2,2,46.86,Under Construction,May,2,1,1225
Built-up  Area,3,1,72,Ready To Move,,3,1,1541
Super built-up  Area,2,2,111,Ready To Move,,3,1,1610
Super built-up  Area,2,2,125,Ready To Move,,2,1,1694
Plot  Area,3,2,75,Ready To Move,,3,1,600
Super built-up  Area,2,1,39,Ready To Move,,2,1,950
Super built-up  Area,2,3,66,Ready To Move,,3,1,1560
Super built-up  Area,2,2,27,Ready To Move,,2,1,1201
Plot  Area,2,1,60,Ready To Move,,2,1,1500
Super built-up  Area,3,2,75,Ready To Move,,3,1,1785
Built-up  Area,2,1,63.53,Ready To Move,,2,1,1258
Super built-up  Area,2,2,42,Ready To Move,,2,1,910
Super built-up  Area,2,2,112,Ready To Move,,2,1,1297
Super built-up  Area,2,3,49,Ready To Move,,2,1,1291
Built-up  Area,2,2,42,Ready To Move,,2,1,1070
Super built-up  Area,2,1,66.5,Ready To Move,,2,1,1012
Super built-up  Area,2,3,57.6,Ready To Move,,2,1,1260
Super built-up  Area,2,2,72,Ready To Move,,2,1,1282
Super built-up  Area,3,2,92.15,Ready To Move,,3,1,1843
Plot  Area,3,,200,Ready To Move,,4,1,2400
Built-up  Area,5,2,105,Ready To Move,,5,1,3356
Super built-up  Area,5,3,198,Under Construction,Mar,4,1,2790
Super built-up  Area,2,1,86.98,Ready To Move,,2,1,1330
Super built-up  Area,2,1,73,Ready To Move,,3,1,1400
Built-up  Area,2,1,71,Under Construction,Dec,2,1,1192
Built-up  Area,2,1,130,Ready To Move,,2,1,1000
Super built-up  Area,2,2,103,Ready To Move,,2,1,1297
